YEAR,WEEK,"BIRMINGHAM, AL","MOBILE, AL","MONTGOMERY, AL","PHOENIX, AZ","TUCSON, AZ","LITTLE ROCK, AR","BERKELEY, CA","FRESNO, CA","GLENDALE, CA","LONG BEACH, CA","LOS ANGELES, CA","OAKLAND, CA","PASADENA, CA","SACRAMENTO, CA","SAN DIEGO, CA","SAN FRANCISCO, CA","SAN JOSE, CA","SANTA CRUZ, CA","COLORADO SPRINGS, CO","DENVER, CO","PUEBLO, CO","BRIDGEPORT, CT","HARTFORD, CT","NEW HAVEN, CT","WATERBURY, CT","WILMINGTON, DE","WASHINGTON, DC","JACKSONVILLE, FL","MIAMI, FL","ST PETERSBURG, FL","TAMPA, FL","ATLANTA, GA","SAVANNAH, GA","HONOLULU, HI","BOISE, ID","CHICAGO, IL","PEORIA, IL","ROCKFORD, IL","EVANSVILLE, IN","FORT WAYNE, IN","GARY, IN","INDIANAPOLIS, IN","SOUTH BEND, IN","DES MOINES, IA","KANSAS CITY, KS","WICHITA, KS","LEXINGTON, KY","LOUISVILLE, KY","BATON ROUGE, LA","NEW ORLEANS, LA","SHREVEPORT, LA","BALTIMORE, MD","BOSTON, MA","CAMBRIDGE, MA","FALL RIVER, MA","LOWELL, MA","LYNN, MA","NEW BEDFORD, MA","SOMERVILLE, MA","SPRINGFIELD, MA","WORCESTER, MA","DETROIT, MI","GRAND RAPIDS, MI","DULUTH, MN","MINNEAPOLIS, MN","ST PAUL, MN","KANSAS CITY, MO","ST LOUIS, MO","LINCOLN, NE","OMAHA, NE","LAS VEGAS, NV","CAMDEN, NJ","ELIZABETH, NJ","JERSEY CITY, NJ","NEWARK, NJ","PATERSON, NJ","TRENTON, NJ","ALBUQUERQUE, NM","ALBANY, NY","BUFFALO, NY","ROCHESTER, NY","SCHENECTADY, NY","SYRACUSE, NY","UTICA, NY","YONKERS, NY","CHARLOTTE, NC","CANTON, OH","CINCINNATI, OH","CLEVELAND, OH","COLUMBUS, OH","DAYTON, OH","TOLEDO, OH","YOUNGSTOWN, OH","TULSA, OK","PORTLAND, OR","ALLENTOWN, PA","ERIE, PA","PHILADELPHIA, PA","PITTSBURGH, PA","READING, PA","SCRANTON, PA",PROVIDENCE,"CHATTANOOGA, TN","KNOXVILLE, TN","MEMPHIS, TN","NASHVILLE, TN","AUSTIN, TX","CORPUS CHRISTI, TX","DALLAS, TX","EL PASO, TX","FORT WORTH, TX","HOUSTON, TX","SAN ANTONIO, TX","OGDEN, UT","SALT LAKE CITY, UT","NORFOLK, VA","RICHMOND, VA","SEATTLE, WA","SPOKANE, WA","TACOMA, WA","MILWAUKEE, WI"
1965,21,2,1,4,2,-,1,1,2,-,-,19,-,-,2,2,9,-,-,-,4,-,2,1,2,-,3,7,2,1,7,4,2,4,1,3,25,2,3,1,2,5,1,2,1,3,3,-,7,-,7,4,5,6,1,-,2,-,1,1,4,5,7,3,-,3,2,5,6,2,3,-,1,3,1,5,1,1,1,2,5,11,1,2,12,-,2,2,4,1,2,-,4,1,3,3,4,4,9,3,7,-,4,2,-,6,2,2,-,4,-,-,3,2,1,-,2,4,4,1,2,1
1965,22,-,2,1,4,2,2,-,1,-,3,17,3,-,-,2,5,3,-,1,3,1,-,3,1,1,2,2,1,2,1,15,7,3,1,1,27,-,2,3,1,-,2,4,1,1,3,-,10,1,-,3,7,11,1,-,2,2,-,1,1,3,11,3,-,1,4,2,3,3,2,-,1,4,1,2,5,2,2,2,8,10,-,1,7,3,1,4,3,1,4,-,2,-,2,2,3,3,9,4,1,-,5,-,-,3,9,3,-,3,2,1,3,4,1,1,6,2,2,-,2,3
1965,23,1,1,-,4,1,3,-,1,-,2,19,2,-,2,3,2,-,-,-,3,1,1,5,2,1,3,8,3,1,4,6,3,-,-,2,33,-,3,-,2,6,7,1,3,-,4,-,23,-,6,8,2,10,-,-,2,2,-,-,2,5,12,-,-,4,1,3,5,4,2,-,1,3,2,4,3,3,2,2,5,8,1,1,5,3,1,-,2,2,6,2,6,2,1,1,1,1,9,7,5,2,1,2,2,3,3,6,1,3,-,1,2,2,2,-,3,2,6,-,1,3
1965,24,2,-,2,3,2,-,-,1,-,-,13,1,-,-,4,-,1,-,1,1,-,4,1,-,-,3,3,1,-,5,8,4,3,3,1,32,-,1,2,1,4,6,1,-,3,3,-,9,1,-,5,4,9,-,-,3,-,-,-,4,1,7,2,-,1,-,5,9,-,3,-,1,2,2,7,1,2,2,-,4,8,1,1,3,-,4,4,3,3,1,2,3,2,5,5,-,5,9,3,2,-,3,2,1,4,7,3,-,6,3,3,4,2,1,1,3,-,4,3,-,2
1965,25,1,2,4,2,1,4,-,1,-,-,9,1,-,1,2,3,2,-,3,6,-,2,1,1,2,1,7,1,-,1,11,3,2,-,1,21,2,5,2,3,1,3,3,1,4,1,-,9,-,5,6,9,8,5,1,-,-,1,-,3,7,11,3,-,4,-,2,8,1,1,-,1,1,8,3,3,3,1,-,4,9,-,4,2,1,-,-,3,3,1,-,2,2,1,2,-,1,15,3,1,-,3,4,2,5,-,2,-,6,2,1,7,1,3,1,1,1,5,-,2,4
1965,26,-,-,2,2,1,1,-,-,1,4,10,-,-,1,2,3,2,-,1,1,-,2,-,-,-,3,6,-,2,3,9,6,-,1,2,33,2,4,2,2,4,4,2,1,5,4,-,8,2,4,5,12,9,5,1,-,2,1,1,5,5,7,2,-,2,2,4,5,1,-,-,2,1,5,3,2,3,2,-,3,11,1,-,4,2,-,8,5,3,8,2,3,3,1,6,1,2,9,3,3,1,3,-,3,6,-,6,1,2,2,3,2,3,1,-,5,4,1,1,1,4
1965,27,-,1,4,2,4,3,1,3,-,-,8,1,-,1,5,6,2,-,4,3,2,6,2,-,2,2,3,1,2,3,7,8,1,1,3,33,-,4,1,4,4,1,3,2,3,4,-,7,-,10,3,7,4,-,-,2,2,-,-,4,4,6,1,-,-,-,2,1,1,1,-,2,-,5,2,1,1,1,-,5,10,1,2,6,4,1,3,5,1,2,2,3,-,1,3,4,-,14,4,5,4,1,1,1,3,2,3,-,4,3,-,2,-,1,2,3,1,4,-,2,3
1965,28,-,-,6,7,3,1,-,-,-,-,17,2,-,1,5,4,3,-,1,2,-,4,-,3,-,1,4,1,2,3,7,5,1,1,2,29,-,2,2,2,1,3,5,3,4,3,-,11,1,8,3,10,3,-,-,5,-,1,1,5,4,11,3,1,-,-,1,5,2,2,-,1,-,5,2,3,3,3,1,8,11,1,2,2,3,-,2,-,1,4,-,4,1,6,-,2,3,8,9,5,2,5,2,2,4,4,2,1,4,4,-,1,4,1,4,1,1,4,1,1,4
1965,29,-,2,4,-,1,-,1,-,3,-,19,2,-,-,5,4,1,-,2,4,-,3,2,1,-,3,9,1,1,9,4,7,2,1,2,32,-,5,2,4,2,5,2,-,3,3,11,12,-,4,5,9,10,-,-,-,2,1,4,6,2,10,-,-,-,-,3,4,1,2,-,1,1,4,3,3,1,1,2,1,6,1,-,2,3,2,2,-,1,4,-,-,-,7,1,-,2,7,3,7,-,5,-,-,3,4,2,1,1,6,4,1,4,5,2,1,-,2,1,3,2
1965,30,1,3,4,1,-,2,-,1,2,-,24,3,-,2,2,3,1,-,4,5,-,5,2,-,-,1,9,-,1,6,5,4,1,-,4,39,-,6,2,3,2,5,4,1,3,4,4,9,2,5,7,5,7,-,-,-,-,2,1,3,4,6,4,-,1,2,5,10,2,1,-,-,-,3,1,2,2,2,2,5,5,1,1,3,2,1,3,5,5,3,1,4,-,3,-,1,4,9,4,12,1,-,2,1,7,1,6,-,3,2,2,1,4,1,1,2,3,4,-,1,2
